Intensity_MaxHR_Pct,Duration_Hours,Training_Effectiveness
0.98,1.198,0.5155
0.915,1.452,0.6272
0.636,2.903,0.6634
0.767,1.257,0.7578
0.952,0.923,0.6157
0.978,0.882,0.5445
0.787,1.482,0.9148
0.845,2.327,0.5671
0.667,0.777,0.3337
0.996,2.186,0.3759
0.693,0.259,0.2403
0.977,1.373,0.5913
0.86,2.372,0.5988
0.843,1.148,0.7427
0.805,1.778,0.7364
0.692,0.774,0.4229
0.671,2.278,0.6029
0.688,0.346,0.336
0.675,2.587,0.6587
0.912,0.755,0.5637
0.74,2.648,0.6136
0.623,1.187,0.4231
0.988,2.224,0.3595
0.954,1.094,0.5949
0.971,2.737,0.0963
0.998,0.555,0.5799
0.67,0.7,0.288
0.758,1.58,0.7963
0.903,0.429,0.6118
0.878,0.749,0.6327
0.662,2.843,0.6322
0.926,2.934,0.2444
0.69,1.254,0.5099
0.69,2.785,0.4373
0.815,1.726,0.8366
0.837,0.955,0.6865
0.832,2.167,0.639
0.637,2.045,0.4677
0.951,2.97,0.1345
0.706,0.942,0.5092
0.652,2.082,0.6107
0.955,0.346,0.5946
0.982,0.518,0.6663
0.945,0.211,0.5318
0.924,2.998,0.2603
0.862,2.446,0.5222
0.82,2.403,0.6439
0.635,1.627,0.4839
0.763,1.04,0.737
0.749,0.624,0.5053
0.704,0.997,0.4986
0.889,1.253,0.6958
0.798,2.318,0.6534
0.632,1.711,0.5378
0.688,0.417,0.2383
0.873,0.25,0.5239
0.63,0.487,0.2227
0.94,1.349,0.5866
0.798,2.813,0.554
0.792,1.985,0.8236
0.837,2.445,0.5668
0.93,1.506,0.6102
0.739,1.213,0.71
0.871,0.504,0.5855
0.826,2.653,0.4109
0.707,2.393,0.6045
0.951,0.671,0.5004
0.919,1.634,0.6784
0.863,1.565,0.7636
0.94,1.95,0.4804
0.947,2.849,0.2545
0.883,1.823,0.7029
0.935,1.713,0.5013
0.879,0.341,0.5376
0.872,0.376,0.5256
0.847,0.725,0.5328
0.901,0.291,0.5155
0.663,2.281,0.5804
0.952,2.225,0.3754
0.949,0.581,0.5014
0.612,2.541,0.6307
0.93,0.633,0.574
0.652,1.043,0.4129
0.734,0.897,0.5888
0.897,1.242,0.6391
0.664,0.913,0.4253
0.927,1.569,0.5815
0.933,1.341,0.5573
0.803,2.962,0.4686
0.603,0.357,0.1943
0.715,0.598,0.4487
0.847,0.348,0.5665
0.992,1.952,0.3424
0.853,0.353,0.4455
0.704,2.542,0.667
0.854,1.633,0.8864
0.816,1.676,0.9106
0.912,1.772,0.5944
0.643,0.678,0.2234
0.904,0.754,0.5493
0.817,1.093,0.663
0.985,1.862,0.3995
0.737,0.788,0.6118
0.853,0.526,0.558
0.973,2.916,0.1594
0.641,0.262,0.2331
0.975,2.448,0.2469
0.875,2.406,0.6095
0.627,1.032,0.4512
0.72,0.58,0.411
0.883,0.608,0.5574
0.627,2.153,0.5829
0.833,2.0,0.7284
0.738,2.392,0.5829
0.848,2.825,0.472
0.618,2.137,0.5991
0.949,0.636,0.5833
0.989,0.882,0.4868
0.988,2.558,0.1506
0.9,0.786,0.6163
0.652,0.403,0.1964
0.903,2.169,0.5082
0.61,1.327,0.4437
0.609,2.776,0.6376
0.729,2.021,0.7903
0.795,0.453,0.4493
0.908,2.854,0.2674
0.873,0.924,0.7004
0.778,1.144,0.7653
0.709,1.326,0.7269
0.999,0.343,0.6386
0.77,1.59,0.9167
0.781,0.545,0.5386
0.665,1.323,0.5772
0.918,1.182,0.6162
0.877,2.364,0.5193
0.688,2.449,0.6434
0.633,0.63,0.3284
0.872,1.226,0.7628
0.862,1.245,0.7429
0.709,0.624,0.4787
0.98,2.436,0.15
0.66,2.18,0.518
0.773,0.733,0.6078
0.977,1.227,0.5279
0.768,0.496,0.5057
0.855,1.959,0.7193
0.759,0.54,0.5052
0.71,2.961,0.4974
0.994,2.386,0.2779
0.764,1.293,0.8174
0.958,1.82,0.5377
0.692,2.752,0.6667
0.685,1.751,0.6544
0.612,0.689,0.239
0.861,1.26,0.675
0.747,2.561,0.5686
0.946,2.004,0.4517
0.789,2.022,0.8269
0.987,2.627,0.1633
0.674,2.703,0.6125
0.947,2.775,0.2283
0.911,0.466,0.5589
0.908,1.724,0.643
0.938,2.273,0.3816
0.904,2.319,0.4483
0.85,1.899,0.6579
0.652,0.667,0.2859
0.613,2.433,0.5381
0.968,2.216,0.3215
0.847,0.441,0.5621
0.919,1.499,0.6623
0.793,0.687,0.5917
0.647,1.145,0.4786
0.65,0.251,0.2072
0.874,1.321,0.7198
0.772,1.74,0.7989
0.68,1.935,0.6474
0.797,2.058,0.7904
0.626,2.542,0.6426
0.833,0.803,0.7062
0.708,0.537,0.3488
0.919,2.584,0.3392
0.724,0.639,0.4804
0.782,2.929,0.5282
0.605,2.559,0.6232
0.629,1.602,0.486
0.757,2.948,0.435
0.792,0.473,0.451
0.84,1.049,0.7388
0.717,1.987,0.7209
0.878,1.18,0.6535
0.944,2.799,0.2307
0.912,0.384,0.5939
0.616,1.738,0.4285
0.792,1.854,0.8716
0.642,2.028,0.5413
0.697,0.916,0.5486
0.995,1.221,0.4796
0.657,2.562,0.525
0.8,0.746,0.5869
0.847,2.515,0.5163
0.881,1.775,0.6785
0.824,2.334,0.6218
0.604,2.198,0.55
0.731,0.781,0.5066
0.807,1.793,0.8209
0.635,2.63,0.4914
0.74,1.41,0.768
0.613,2.906,0.6093
0.631,1.466,0.5497
0.759,0.6,0.4514
0.653,1.29,0.392
0.827,2.865,0.4619
0.876,1.095,0.7144
0.92,2.631,0.2762
0.68,2.668,0.4973
0.667,1.181,0.568
0.642,0.433,0.2809
0.855,2.229,0.4977
0.883,1.072,0.6593
0.613,2.392,0.6417
0.974,1.439,0.4828
0.621,1.559,0.4398
0.817,2.378,0.6097
0.884,1.271,0.6538
0.948,1.441,0.4749
0.886,1.253,0.7569
0.921,1.229,0.5363
0.736,1.673,0.7782
0.926,2.465,0.4124
0.632,1.213,0.3384
0.958,1.668,0.46
0.819,2.078,0.7991
0.927,0.954,0.6297
0.781,0.977,0.6528
0.857,2.814,0.4555
0.811,2.226,0.7522
0.893,1.816,0.671
0.633,2.014,0.5001
0.624,0.282,0.1176
0.699,1.931,0.687
0.664,1.627,0.5662
0.949,1.728,0.5652
0.688,1.206,0.4791
0.99,0.428,0.5248
0.735,0.741,0.5175
0.673,2.862,0.5435
0.916,1.344,0.6101
0.863,1.507,0.6787
0.799,0.348,0.4727
0.822,0.305,0.4848
0.888,2.208,0.5854
0.691,1.707,0.6595
0.999,1.624,0.4259
0.99,0.881,0.6091
0.86,2.285,0.5225
0.68,0.671,0.3867
0.872,0.732,0.5325
0.629,1.49,0.426
0.612,1.002,0.2515
0.703,0.893,0.5323
0.785,2.007,0.7752
0.947,2.023,0.4515
0.891,2.509,0.3779
0.897,1.37,0.6718
0.77,0.405,0.4097
0.738,0.966,0.6247
0.748,2.944,0.4572
0.995,1.87,0.4508
0.616,2.187,0.4566
0.947,0.221,0.5446
0.831,1.651,0.9034
0.775,0.305,0.4041
0.89,1.794,0.6033
0.795,2.778,0.5117
0.949,2.912,0.1649
0.96,1.714,0.4503
0.769,1.483,0.7578
0.711,2.846,0.6876
0.837,2.086,0.6974
0.965,0.382,0.4921
0.684,1.504,0.6891
0.849,0.873,0.6964
0.853,1.515,0.7508
0.893,1.475,0.65
0.653,1.83,0.6024
0.886,1.199,0.6837
0.964,0.66,0.4764
0.672,1.61,0.6846
0.695,2.525,0.5697
0.989,2.059,0.4235
0.672,1.147,0.5602
0.942,2.819,0.1773
0.797,2.754,0.5574
0.699,0.786,0.4114
0.948,0.31,0.4883
0.778,2.276,0.6676
0.806,2.517,0.5999
0.744,2.91,0.4937
0.837,2.692,0.4561
0.665,1.881,0.6565
0.756,1.684,0.8103
0.988,0.278,0.5744
0.703,0.891,0.5279
0.863,1.487,0.7788
0.73,1.96,0.6059
0.909,1.76,0.6424
0.652,2.279,0.5978
0.988,0.983,0.5416
0.782,1.782,0.8695
0.694,0.447,0.2857
0.629,1.358,0.4577
0.668,2.3,0.5148
0.808,2.142,0.7465
0.735,2.974,0.6131
0.932,0.978,0.5485
0.772,1.595,0.7882
0.699,1.123,0.5278
0.847,1.434,0.802
0.883,2.599,0.3651
0.667,2.116,0.6219
0.667,2.671,0.617
0.615,0.77,0.2789
0.895,2.645,0.2885
0.866,0.367,0.587
0.79,2.688,0.5811
0.938,1.121,0.636
0.922,1.081,0.6371
0.834,1.634,0.8278
0.947,2.834,0.2646
0.682,0.334,0.3588
0.645,1.186,0.3868
0.708,2.598,0.6382
0.623,1.309,0.4104
0.812,0.758,0.6172
0.975,1.389,0.436
0.616,1.28,0.3783
0.649,2.763,0.5289
0.781,2.333,0.6441
0.974,1.614,0.4258
0.726,2.967,0.5009
0.803,1.503,0.8179
0.617,0.363,0.1503
0.659,0.934,0.316
0.995,1.421,0.4037
0.986,0.639,0.5928
0.602,2.853,0.5763
0.981,2.347,0.3382
0.856,0.951,0.6964
0.947,1.854,0.5258
0.782,2.22,0.7794
0.806,2.836,0.4539
0.796,2.669,0.5063
0.867,1.643,0.7974
0.656,2.369,0.6054
0.612,1.774,0.4761
0.723,1.748,0.8068
0.882,0.521,0.5599
0.681,0.553,0.3255
0.869,1.683,0.7439
0.988,0.953,0.4968
0.638,0.259,0.1609
0.869,2.224,0.6625
0.778,0.291,0.4475
0.947,1.867,0.4937
0.671,1.71,0.5945
0.877,2.913,0.3456
0.935,1.556,0.6178
0.978,0.378,0.6278
0.873,1.745,0.7071
0.799,2.555,0.5888
0.847,2.991,0.3866
0.948,1.405,0.515
0.828,1.097,0.7545
0.612,2.739,0.4859
0.972,0.735,0.5919
0.876,1.923,0.7102
0.871,1.336,0.7809
0.686,0.315,0.2452
0.864,1.172,0.7463
0.758,0.943,0.7061
0.86,2.121,0.7216
0.643,2.857,0.585
0.863,0.951,0.6856
1.0,2.472,0.2704
0.619,0.355,0.0727
0.991,1.707,0.4126
0.763,0.398,0.5008
0.948,2.815,0.2648
0.913,2.346,0.4578
0.827,2.042,0.6653
0.895,2.507,0.4214
0.951,2.013,0.4147
0.762,2.913,0.5167
0.731,2.199,0.6445
0.867,2.789,0.3336
0.923,1.648,0.4971
0.905,0.528,0.6344
0.919,1.679,0.5872
0.774,0.555,0.5141
0.927,1.859,0.5488
0.648,1.551,0.4708
0.818,1.943,0.7191
0.602,0.228,0.0364
0.73,0.746,0.4634
0.747,1.576,0.8028
0.758,2.861,0.474
0.878,1.274,0.8091
0.755,1.388,0.8271
0.779,2.201,0.756
0.695,1.891,0.6602
0.749,1.037,0.7319
0.691,1.35,0.5918
0.629,0.81,0.2904
0.841,2.905,0.4043
0.867,0.566,0.6131
0.848,1.241,0.7985
0.785,0.272,0.4081
0.752,0.821,0.5479
0.945,2.385,0.3806
0.808,0.763,0.6587
0.792,0.424,0.4652
0.61,1.528,0.3585
0.736,0.228,0.3277
0.752,0.437,0.46
0.76,2.461,0.7155
0.832,2.36,0.5498
0.813,2.762,0.4611
0.843,2.593,0.4785
0.906,2.113,0.605
0.925,0.347,0.5655
0.887,2.392,0.4396
0.982,2.567,0.2475
0.607,2.437,0.5416
0.678,1.624,0.5525
0.603,0.852,0.209
0.859,2.567,0.5659
0.959,2.236,0.3813
0.697,2.946,0.5544
0.971,0.636,0.5614
0.624,0.832,0.3026
0.974,0.793,0.5778
0.741,2.419,0.649
0.641,0.723,0.2958
0.794,0.387,0.5204
0.703,2.996,0.543
0.714,0.269,0.2577
0.723,2.539,0.5678
0.921,1.223,0.5282
0.816,2.557,0.6551
0.725,1.753,0.7833
0.844,2.725,0.4066
0.886,2.793,0.3317
0.709,0.225,0.2537
0.765,0.411,0.5199
0.649,0.901,0.2903
0.672,2.074,0.6176
0.872,2.687,0.4032
0.673,1.488,0.6199
0.81,1.9,0.7951
0.884,0.728,0.5221
0.643,2.454,0.5595
0.827,2.909,0.3696
0.703,0.952,0.5173
0.985,1.586,0.5353
0.793,0.441,0.4053
0.922,1.766,0.5424
0.82,1.608,0.8059
0.617,0.604,0.1918
0.853,1.438,0.8222
0.981,1.135,0.5236
0.841,1.661,0.8257
0.928,1.84,0.5204
0.954,0.224,0.6026
0.691,2.331,0.6542
0.685,2.196,0.5862
0.844,1.226,0.8066
0.764,0.348,0.4237
0.936,2.314,0.4457
0.96,2.874,0.1681
0.741,0.872,0.5937
0.695,1.106,0.5429
0.912,0.715,0.5882
0.71,1.815,0.7169
0.929,0.634,0.6064
0.769,1.197,0.6859
0.867,2.152,0.6963
0.638,1.768,0.4391
0.85,1.282,0.7376
0.781,1.377,0.8049
0.835,1.774,0.8202
0.667,0.216,0.2815
0.895,0.42,0.4655
0.945,2.668,0.2379
0.687,0.418,0.1883
0.638,2.179,0.5633
0.609,2.776,0.614
0.857,0.958,0.7659
0.843,1.237,0.7778
0.819,1.793,0.8683
0.693,2.669,0.6029
0.756,2.837,0.4991
0.838,2.271,0.5666
0.799,0.443,0.5133
0.995,2.074,0.2573
0.655,1.349,0.5656
0.878,1.518,0.7258
0.762,0.338,0.4734
0.771,0.735,0.5479
0.887,2.413,0.491
0.877,1.471,0.7474
0.997,1.045,0.5254
0.651,1.275,0.4527
0.642,2.592,0.5949
0.89,2.297,0.4682
0.831,0.962,0.6408
0.71,0.529,0.4399
0.632,0.906,0.3615
0.634,2.778,0.5896
0.958,1.828,0.558
0.677,1.694,0.6031
0.729,1.87,0.8091
0.691,1.225,0.5784
0.742,2.46,0.5718
0.628,1.665,0.5897
0.808,0.527,0.5864
0.627,0.561,0.2109
0.92,1.703,0.6369
0.693,2.822,0.5392
0.816,1.063,0.7793
0.952,2.635,0.1389
0.86,2.339,0.5151
0.813,0.894,0.7249
0.73,0.302,0.3334
0.733,0.485,0.4206
0.868,2.24,0.5216
0.998,0.759,0.6547
0.865,1.24,0.801
0.823,1.605,0.8209
0.892,2.231,0.5122
0.786,0.517,0.5605
0.624,1.338,0.5237
0.825,1.558,0.8775
0.983,1.714,0.5511
0.67,2.491,0.5372
0.876,0.681,0.562
0.68,2.462,0.5316
0.814,2.14,0.743
0.639,1.756,0.5408
0.78,2.159,0.7225
0.902,1.354,0.7141
0.739,0.588,0.5198
0.866,2.064,0.5815
0.918,1.669,0.5815
0.971,1.99,0.4449
0.694,1.146,0.5318
0.76,2.739,0.5022
0.661,1.845,0.6389
0.997,0.439,0.5379
0.971,1.459,0.4958
0.816,2.318,0.6657
0.937,2.424,0.3272
0.808,1.585,0.88
0.849,2.705,0.4172
0.636,0.949,0.4169
0.902,1.35,0.668
0.651,2.716,0.6107
0.93,2.71,0.3187
0.913,2.12,0.4844
0.883,2.605,0.3117
0.614,0.449,0.1819
0.721,2.622,0.5846
0.705,1.098,0.5989
0.744,0.699,0.4992
0.635,0.87,0.3002
0.975,1.37,0.616
0.822,0.903,0.6074
0.722,1.098,0.6525
0.759,0.578,0.4614
0.779,1.029,0.6848
0.84,1.802,0.7693
0.806,1.437,0.7909
0.968,1.171,0.5745
0.799,2.29,0.7457
0.997,2.702,0.1809
0.941,2.319,0.3856
0.683,1.13,0.4716
0.972,2.284,0.3454
0.647,0.626,0.3818
0.927,0.565,0.5568
0.752,1.168,0.69
0.951,2.462,0.2839
0.947,0.89,0.5537
0.922,0.377,0.4289
0.916,0.569,0.5973
0.722,2.604,0.5421
0.632,1.975,0.461
0.761,0.909,0.6651
0.669,1.755,0.5481
0.878,1.677,0.7048
0.738,2.035,0.8057
0.99,0.853,0.4821
0.856,2.62,0.3868
0.929,1.066,0.6202
0.653,2.144,0.6373
0.945,0.245,0.5031
0.969,1.243,0.5584
0.795,1.185,0.8003
0.843,1.722,0.6914
0.906,0.404,0.6013
0.67,2.412,0.6324
0.801,0.81,0.6206
0.759,2.096,0.8037
0.659,2.449,0.6366
0.747,1.773,0.79
0.627,2.274,0.5335
0.61,2.053,0.4724
0.654,1.195,0.4588
0.985,2.465,0.2711
0.82,1.025,0.7083
0.986,1.799,0.3069
0.773,2.287,0.7486
0.725,1.261,0.6836
0.802,1.048,0.7098
0.776,1.486,0.865
0.642,2.49,0.6492
0.856,2.804,0.2597
0.686,1.726,0.6658
0.848,2.052,0.6304
0.86,2.729,0.4431
0.661,0.476,0.2655
0.625,0.85,0.3258
0.912,2.185,0.4709
0.784,2.506,0.5079
0.623,2.6,0.5543
0.998,1.362,0.5017
0.623,0.45,0.2306
0.878,1.426,0.6748
0.993,0.846,0.604
0.696,1.015,0.4848
0.657,2.362,0.599
0.649,0.411,0.1914
0.721,2.517,0.6119
0.64,1.397,0.5203
0.877,1.869,0.6269
0.625,0.451,0.149
0.804,1.145,0.7718
0.999,0.451,0.7225
0.926,2.892,0.1963
0.846,2.46,0.6476
0.723,1.487,0.8186
0.85,0.826,0.6464
0.811,2.814,0.4549
0.77,1.165,0.7046
0.652,0.651,0.2896
0.955,1.777,0.4226
0.78,2.843,0.4945
0.678,0.211,0.2967
0.747,0.867,0.5533
0.766,2.828,0.5034
0.931,0.679,0.496
0.893,0.517,0.5898
0.908,1.797,0.6317
0.604,2.613,0.5859
0.766,1.536,0.8045
0.793,2.985,0.4342
0.608,2.102,0.5496
0.704,0.407,0.3254
0.904,2.98,0.2746
0.655,1.342,0.5105
0.814,1.005,0.7734
0.686,1.762,0.6787
0.605,1.052,0.3218
0.696,0.442,0.3984
0.99,0.204,0.6505
0.921,1.459,0.6921
0.984,2.543,0.2537
0.795,1.802,0.7331
0.644,2.998,0.6603
0.819,1.003,0.7237
0.782,0.985,0.6854
0.938,0.647,0.592
0.639,0.659,0.2512
0.795,0.999,0.7175
0.66,2.42,0.5516
0.73,2.736,0.6211
0.895,2.93,0.2839
0.79,0.85,0.6239
0.75,2.668,0.5192
0.758,1.119,0.7161
0.784,0.516,0.5148
0.914,2.636,0.358
0.957,1.981,0.3878
0.982,0.661,0.4919
0.915,1.404,0.675
0.726,1.004,0.6662
0.875,2.263,0.5113
0.775,1.47,0.8988
0.702,2.97,0.5583
0.936,0.353,0.5731
0.615,1.194,0.3503
0.961,1.549,0.4498
0.785,1.609,0.8869
0.855,1.085,0.6831
0.864,2.242,0.5585
0.958,2.649,0.2925
0.855,2.828,0.301
0.846,2.454,0.4721
0.627,2.582,0.5742
0.807,1.742,0.8463
0.66,2.512,0.6028
0.895,1.05,0.6443
0.805,1.316,0.9368
0.872,1.087,0.6894
0.617,1.509,0.4348
0.634,1.0,0.3169
0.887,2.893,0.3226
0.629,1.076,0.398
0.629,0.475,0.2564
0.605,1.675,0.3826
0.983,0.36,0.5901
0.895,0.51,0.5926
0.741,0.814,0.5805
0.719,1.5,0.7101
0.74,1.413,0.7753
0.91,2.439,0.3736
0.865,2.271,0.6627
0.674,1.394,0.614
0.67,1.134,0.4173
0.639,1.086,0.34
0.864,2.367,0.4946
0.906,0.346,0.5908
0.706,0.236,0.2181
0.608,2.428,0.5443
0.633,1.536,0.5086
0.987,0.566,0.5791
0.718,0.86,0.5305
0.908,2.811,0.2444
0.85,2.607,0.5108
0.753,2.187,0.6786
0.682,1.55,0.5993
0.649,1.657,0.5535
0.846,2.931,0.3858
0.91,2.904,0.2686
0.858,0.803,0.6036
0.812,2.471,0.5763
0.617,0.752,0.2512
0.987,0.798,0.4901
0.919,2.093,0.4829
0.717,1.334,0.6925
0.992,2.808,0.0737
0.841,0.449,0.5976
0.833,1.632,0.8822
0.899,2.772,0.2643
0.925,2.732,0.3546
0.863,0.638,0.588
0.651,1.227,0.4826
0.735,1.934,0.7207
0.971,0.646,0.6196
0.69,2.91,0.5766
0.749,2.761,0.5024
0.773,0.667,0.4887
0.776,0.539,0.4293
0.845,0.439,0.5492
0.977,2.746,0.2086
0.696,0.742,0.4548
0.649,1.366,0.483
0.679,1.457,0.5328
0.955,1.877,0.4362
0.858,0.401,0.5969
0.714,0.835,0.4748
0.926,2.808,0.2682
0.945,2.744,0.1889
0.939,2.388,0.3802
0.968,0.254,0.5781
0.701,1.116,0.6175
0.902,1.958,0.634
0.784,0.971,0.6601
0.937,2.747,0.2511
0.891,1.975,0.5926
0.911,0.401,0.4916
0.862,2.745,0.3651
0.671,2.882,0.5791
0.818,0.418,0.529
0.994,1.691,0.4342
0.975,1.049,0.5307
0.617,1.3,0.4476
0.666,0.703,0.3421
0.653,1.819,0.6032
0.89,2.882,0.2227
0.927,1.609,0.3984
0.685,0.432,0.3108
0.802,1.936,0.7239
0.936,1.153,0.5864
0.893,2.597,0.3819
0.817,1.417,0.9051
0.836,0.74,0.6452
0.803,0.735,0.6171
0.719,2.353,0.6797
0.826,0.944,0.7143
0.876,2.348,0.5062
0.949,0.776,0.6294
0.855,1.101,0.6708
0.904,1.503,0.6828
0.664,2.841,0.4955
0.785,2.809,0.5128
0.604,0.779,0.2445
0.699,1.203,0.6701
0.891,0.618,0.5086
0.997,1.628,0.4047
0.64,1.49,0.534
0.761,2.722,0.563
0.92,2.804,0.284
0.682,1.274,0.5092
0.822,1.577,0.8028
0.893,2.709,0.4213
0.846,2.459,0.5427
0.675,0.21,0.2352
0.742,1.096,0.657
0.914,1.381,0.5877
0.822,0.843,0.7061
0.602,0.759,0.2516
0.904,0.306,0.669
0.614,2.001,0.4684
0.898,0.935,0.6779
0.681,0.347,0.1973
0.983,0.847,0.5639
0.747,2.445,0.6777
0.731,2.584,0.4854
0.66,1.553,0.5436
0.722,1.365,0.6659
0.951,2.938,0.1445
0.999,0.762,0.5809
0.747,0.803,0.6148
0.779,1.017,0.691
0.889,0.684,0.6096
0.954,1.262,0.5672
0.837,2.75,0.4511
0.757,1.923,0.7244
0.765,1.353,0.8402
0.878,2.816,0.3698
0.601,0.336,0.1318
0.848,0.789,0.5997
0.742,1.784,0.7522
0.918,1.924,0.551
0.637,0.311,0.0923
0.835,1.329,0.7128
0.792,2.018,0.745
0.857,2.155,0.6723
0.626,1.987,0.5005
0.832,1.098,0.6934
0.825,0.462,0.4904
0.824,1.396,0.7951
0.841,0.561,0.5524
0.871,2.853,0.4671
0.922,1.53,0.6707
0.708,1.088,0.6264
0.93,2.346,0.4559
0.799,1.594,0.792
0.631,1.068,0.3081
0.623,2.474,0.5119
0.734,2.628,0.6462
0.914,2.084,0.4965
0.883,0.332,0.4796
0.915,1.786,0.5768
0.807,2.337,0.6387
0.776,0.582,0.5324
0.659,0.84,0.3791
0.731,2.671,0.5284
0.774,0.256,0.4441
0.635,2.308,0.5318
0.688,1.527,0.6211
0.839,1.451,0.8425
0.894,0.22,0.5079
0.999,2.494,0.1807
0.973,1.208,0.5647
0.857,1.714,0.7242
0.768,2.096,0.7273
0.854,2.167,0.6744
0.914,2.877,0.3692
0.647,1.688,0.573
0.764,1.319,0.7984
0.936,2.87,0.2519
0.754,1.998,0.706
0.829,1.035,0.7321
0.835,0.554,0.564
0.674,2.559,0.5967
0.745,1.214,0.7144
0.734,2.049,0.7415
0.61,1.518,0.4209
0.61,0.757,0.2422
0.933,1.885,0.4656
0.709,0.37,0.3101
0.807,1.357,0.8882
0.719,1.731,0.7445
0.976,1.421,0.505
0.704,2.296,0.7289
0.772,2.518,0.5352
0.949,2.359,0.2923
0.937,0.309,0.6601
0.674,0.744,0.3737
0.921,1.703,0.5858
0.783,2.818,0.4414
0.793,2.538,0.6064
0.653,2.559,0.6032
0.632,1.049,0.3123
0.891,1.402,0.6948
0.799,1.518,0.8223
0.775,0.641,0.5522
0.892,0.287,0.4873
0.906,2.851,0.3521
0.664,0.874,0.4341
0.844,0.872,0.6493
0.654,0.433,0.223
0.901,2.8,0.3088
0.863,1.823,0.6953
0.983,2.068,0.3358
0.628,2.752,0.5741
0.623,1.168,0.4599
0.713,1.94,0.7492
0.705,0.309,0.3464
0.699,0.723,0.4397
0.963,2.527,0.2128
0.7,2.347,0.6193
0.709,1.182,0.6564
0.904,1.255,0.6029
0.78,1.694,0.864
0.911,0.201,0.6701
0.626,0.875,0.3579
0.795,0.783,0.6914
0.613,0.901,0.2977
0.625,2.457,0.6151
0.963,0.983,0.5262
0.656,0.736,0.3664
0.813,1.612,0.8713
0.764,2.624,0.5869
0.739,0.876,0.6369
0.96,0.42,0.5565
0.609,1.198,0.3487
0.866,2.293,0.5782
0.985,1.742,0.3801
0.824,2.487,0.5811
0.975,2.887,0.0619
0.621,2.419,0.6154
0.768,1.891,0.7992
0.704,1.581,0.6543
0.892,0.312,0.5043
0.993,2.956,0.0879
0.703,1.274,0.6516
0.862,0.626,0.6196
0.679,2.067,0.5889
0.826,0.996,0.6715
0.786,1.84,0.8505
0.989,1.843,0.366
0.843,1.448,0.8049
0.74,2.541,0.6069
0.646,0.942,0.3823
0.66,1.456,0.5824
0.69,1.706,0.5893
0.7,2.058,0.5681
0.94,2.395,0.3287
0.824,1.305,0.8927
0.809,2.009,0.8717
0.646,0.622,0.363
0.944,2.811,0.2155
0.889,1.273,0.6094
0.627,2.243,0.4364
0.883,0.257,0.5033
0.817,0.775,0.6225
0.633,1.564,0.5557
0.783,2.659,0.5928
0.794,1.676,0.8508
0.666,2.804,0.5275
0.978,1.555,0.4336
0.94,1.573,0.5786
0.868,0.535,0.6061
0.785,2.447,0.6428
0.765,0.892,0.5742
0.86,2.719,0.4536
0.818,2.75,0.5014
0.625,2.841,0.5435
0.805,1.657,0.8007
0.923,2.096,0.5314
0.784,2.38,0.6373
0.621,0.567,0.2866
0.915,1.883,0.6044
0.681,0.296,0.2242
0.703,1.593,0.6795
0.666,0.634,0.3201
0.732,0.712,0.4549
0.903,1.222,0.6201
0.808,1.411,0.8626
0.682,1.945,0.6776
0.951,0.408,0.6102
0.952,1.61,0.6069
0.948,0.711,0.5486
0.696,1.807,0.7532
0.78,1.985,0.7382
0.994,1.759,0.3609
0.909,2.267,0.3887
0.611,1.14,0.3247
0.626,2.342,0.5343
0.786,1.412,0.8467
0.964,1.556,0.524
0.815,2.015,0.7033
0.799,0.251,0.4264
0.642,2.031,0.5421
0.863,1.932,0.6181
0.929,1.068,0.5578
0.752,0.44,0.3911
0.91,0.455,0.6387
0.986,2.785,0.1642
0.682,2.13,0.6571
0.809,0.556,0.4729
0.715,1.199,0.6894
0.917,1.859,0.6427
0.831,2.54,0.4383
0.854,0.322,0.4853
0.919,0.863,0.6287
0.758,2.691,0.5881
0.966,0.226,0.5683
0.813,0.764,0.6111
0.663,2.885,0.5441
0.878,1.918,0.6775
0.917,0.933,0.6731
0.727,0.388,0.3271
0.943,0.279,0.6295
0.962,0.885,0.5264
0.711,2.668,0.5304
0.993,1.365,0.5281
0.656,2.217,0.6296
0.681,2.771,0.6103
0.674,1.343,0.4856
0.958,0.736,0.5488
0.862,1.648,0.806
0.661,2.743,0.5766
0.776,2.452,0.5713
0.846,0.384,0.5506
0.633,2.139,0.5184
0.953,1.801,0.5823
0.921,2.741,0.368
0.802,0.543,0.5669
0.987,1.695,0.507
0.767,2.662,0.5626
0.994,1.348,0.5276
0.867,1.55,0.8329
0.854,0.397,0.548
0.666,0.979,0.4157
0.953,1.109,0.4851
0.771,2.846,0.502
0.665,0.991,0.47
0.605,1.49,0.4682
0.824,2.08,0.7571
0.811,0.654,0.557
0.888,1.562,0.6082
0.956,2.268,0.3349
0.632,2.627,0.5622
0.893,1.954,0.6073
0.675,2.073,0.6473
0.943,0.554,0.6752
0.928,2.848,0.2537
0.816,0.571,0.5482
0.884,2.369,0.4882
0.726,0.941,0.5731
0.788,2.814,0.4554
0.929,2.216,0.4489
0.784,2.311,0.6977
0.743,0.813,0.5649
0.798,1.441,0.8539
0.931,1.93,0.5415
0.734,2.356,0.5593
0.67,0.491,0.3132
0.885,2.895,0.2855
0.93,2.693,0.2313
0.64,0.957,0.3034
0.696,2.504,0.6165
0.657,1.651,0.5497
0.739,1.493,0.6754
0.78,1.08,0.7463
0.9,1.827,0.5633
